Unique,AgeEntry,PolicyTerm,SumAssured
A000001,54,30,7005846
A000002,28,20,2867340
A000003,37,1,1727838
A000004,62,5,682114
A000005,30,10,637534
A000006,51,1,754336
A000007,45,10,5542395
A000008,36,5,118087
A000009,58,5,3158447
A000010,19,5,6749105
A000011,23,20,744564
A000012,56,20,705036
A000013,42,1,2051582
A000014,40,1,3546858
A000015,32,30,922181
A000016,38,1,9270513
A000017,24,1,6832927
A000018,41,5,8863565
A000019,64,10,9721441
A000020,68,20,9664435
A000021,31,30,5589064
A000022,47,1,9986998
A000023,34,1,7653365
A000024,65,1,1282954
A000025,50,20,5140859
A000026,23,30,6080444
A000027,26,1,6215741
A000028,33,1,5583397
A000029,65,10,5440987
A000030,56,30,458633
A000031,62,30,2555775
A000032,45,20,3066084
A000033,51,10,5924574
A000034,23,20,7622111
A000035,53,1,9549375
A000036,25,5,7916931
A000037,51,20,6548964
A000038,23,1,8887461
A000039,55,20,783799
A000040,42,20,3585502
A000041,20,1,230754
A000042,42,30,8803659
A000043,44,5,4210075
A000044,66,1,5764287
A000045,35,10,2467337
A000046,32,30,1155958
A000047,37,30,885202
A000048,33,10,5618631
A000049,31,10,704303
A000050,39,5,8206691
A000051,25,10,7233140
A000052,51,5,6290907
A000053,41,5,6035012
A000054,56,20,439931
A000055,67,10,1081394
A000056,43,10,2973519
A000057,40,5,7457120
A000058,22,5,7795006
A000059,53,1,6583390
A000060,47,5,4839610
A000061,49,10,9746716
A000062,68,5,3653127
A000063,50,1,1091092
A000064,25,10,6410541
A000065,55,5,6592321
A000066,54,5,646139
A000067,35,5,6950558
A000068,62,20,3645114
A000069,46,10,1439848
A000070,50,30,3826517
A000071,25,1,8537114
A000072,39,20,1129732
A000073,61,30,4521710
A000074,41,5,3894341
A000075,46,1,5537439
A000076,19,5,9669777
A000077,58,5,4334967
A000078,26,5,3757759
A000079,64,1,4061687
A000080,67,5,5094595
A000081,56,1,8430765
A000082,21,30,6805206
A000083,46,30,1161866
A000084,60,1,4690183
A000085,45,20,2882232
A000086,65,5,1555548
A000087,41,10,1377298
A000088,47,1,8058256
A000089,40,20,9260924
A000090,49,20,9796454
A000091,56,10,9847716
A000092,29,10,9175406
A000093,42,10,6135828
A000094,66,20,8305260
A000095,69,30,2493015
A000096,42,1,902997
A000097,64,10,882677
A000098,38,10,8209632
A000099,54,5,667734
A000100,21,5,3587363
A000101,29,5,8544960
A000102,36,1,7661523
A000103,68,1,7117862
A000104,36,10,5965323
A000105,40,30,2683064
A000106,30,5,1348500
A000107,21,5,2234794
A000108,20,30,4143626
A000109,49,5,633053
A000110,22,1,2239433
A000111,61,1,3293968
A000112,28,10,8745648
A000113,51,5,3803988
A000114,52,1,1586092
A000115,29,20,7066266
A000116,69,30,7920384
A000117,27,1,6669878
A000118,26,5,5153177
A000119,68,10,4478497
A000120,48,20,8701035
A000121,36,20,1112672
A000122,57,30,9606313
A000123,49,20,2577329
A000124,56,5,3458877
A000125,43,30,6623990
A000126,49,20,8839762
A000127,58,30,6012787
A000128,51,30,4327761
A000129,52,30,7979537
A000130,57,30,9530780
A000131,68,5,5776795
A000132,51,1,2269746
A000133,28,10,7933111
A000134,46,10,7684502
A000135,28,1,1237359
A000136,47,10,5447761
A000137,22,30,3753635
A000138,57,1,8327794
A000139,41,20,798510
A000140,22,30,1762794
A000141,64,5,5161076
A000142,61,5,5852104
A000143,35,30,6598286
A000144,44,5,4226767
A000145,56,10,8226519
A000146,22,5,9304758
A000147,27,30,8289313
A000148,28,5,5687603
A000149,35,20,7964236
A000150,30,30,7164681
A000151,45,10,602060
A000152,50,10,8887544
A000153,58,5,2812394
A000154,44,1,8461787
A000155,65,10,7630781
A000156,64,5,8600636
A000157,54,10,666762
A000158,22,20,7572682
A000159,25,5,6493729
A000160,27,30,7415922
A000161,68,5,4538480
A000162,30,10,4770961
A000163,21,1,6971781
A000164,49,10,2877069
A000165,38,5,2560726
A000166,32,5,609363
A000167,68,30,6209185
A000168,57,10,1930933
A000169,38,10,8285972
A000170,47,5,2752443
A000171,54,5,5043718
A000172,40,10,2340849
A000173,56,5,4634578
A000174,21,1,216798
A000175,62,10,6100881
A000176,40,10,9389775
A000177,44,1,6296408
A000178,59,30,9404416
A000179,55,20,9365562
A000180,44,10,4564968
A000181,58,1,9593950
A000182,69,20,6393497
A000183,25,5,7442228
A000184,67,5,247542
A000185,27,20,7660845
A000186,65,10,3982420
A000187,51,30,4234014
A000188,37,20,9299975
A000189,19,1,2941710
A000190,46,10,9791498
A000191,48,10,9140367
A000192,64,30,8506010
A000193,57,30,873867
A000194,51,10,3959260
A000195,43,10,1008896
A000196,61,10,8533455
A000197,66,20,8014958
A000198,19,10,1820563
A000199,32,20,4861824
A000200,45,30,5845893
A000201,68,10,9084695
A000202,62,20,2540522
A000203,28,30,6802231
A000204,42,5,3306416
A000205,48,20,3623225
A000206,68,1,9427216
A000207,32,20,8662103
A000208,48,20,6448951
A000209,43,10,4098803
A000210,54,1,2527340
A000211,19,30,5568748
A000212,64,20,2550776
A000213,62,30,950479
A000214,29,20,7306922
A000215,27,30,3968184
A000216,22,30,5574075
A000217,55,20,940972
A000218,26,30,3384541
A000219,50,5,5335324
A000220,43,5,8534000
A000221,45,5,5208738
A000222,22,10,845497
A000223,56,5,6912635
A000224,22,30,5461755
A000225,61,10,9337124
A000226,32,30,8596862
A000227,38,10,2679906
A000228,39,5,6768298
A000229,19,10,7826557
A000230,21,20,9186549
A000231,68,30,2993955
A000232,42,30,6771197
A000233,32,5,6769901
A000234,44,5,4466449
A000235,34,20,8453294
A000236,31,1,4148038
A000237,55,1,298851
A000238,60,20,1939237
A000239,62,10,9543600
A000240,61,1,7957362
A000241,44,1,8686245
A000242,41,20,3870636
A000243,34,5,5132727
A000244,23,20,7739121
A000245,28,30,5163739
A000246,30,1,7242800
A000247,37,30,5261190
A000248,34,10,4017183
A000249,37,10,6897982
A000250,66,10,4373244
A000251,49,10,8662666
A000252,44,10,7473878
A000253,31,20,6896812
A000254,64,10,3775811
A000255,23,5,2537494
A000256,51,30,6959374
A000257,25,30,789013
A000258,34,5,7304508
A000259,27,5,7591804
A000260,52,1,984235
A000261,40,10,6201281
A000262,39,10,3326595
A000263,36,30,2708190
A000264,23,1,1778706
A000265,48,20,5820505
A000266,28,5,6982815
A000267,19,1,7449420
A000268,59,30,2893377
A000269,42,10,1582929
A000270,50,5,854898
A000271,67,30,1335822
A000272,49,20,7752666
A000273,55,10,8251989
A000274,68,30,5368263
A000275,64,20,2139148
A000276,59,30,4469516
A000277,48,20,8963088
A000278,35,10,3270088
A000279,57,5,7977526
A000280,30,1,6030885
A000281,33,1,8875483
A000282,35,30,616864
A000283,42,1,78738
A000284,59,10,7026586
A000285,57,10,4776718
A000286,47,10,7980140
A000287,41,20,9325661
A000288,51,5,8723590
A000289,67,20,8450150
A000290,48,5,4516042
A000291,31,20,6963404
A000292,34,10,6933154
A000293,39,10,6904701
A000294,23,20,7484887
A000295,53,30,6790183
A000296,21,5,3361696
A000297,61,20,9168325
A000298,43,10,2187449
A000299,25,1,983407
A000300,37,5,8502816
A000301,51,10,1287578
A000302,20,30,621019
A000303,54,20,2575004
A000304,40,1,3172201
A000305,26,5,6795601
A000306,66,5,3233538
A000307,27,10,7398630
A000308,32,30,9468808
A000309,54,1,4279640
A000310,54,20,5067385
A000311,38,20,5071807
A000312,21,5,1270140
A000313,25,10,5263018
A000314,41,10,369636
A000315,26,30,3932566
A000316,33,30,3649116
A000317,29,10,1096675
A000318,23,10,6248700
A000319,61,1,166631
A000320,69,1,5174974
A000321,25,20,1205056
A000322,57,1,6234850
A000323,40,1,3156484
A000324,43,1,3815186
A000325,60,1,9430843
A000326,42,30,936330
A000327,37,20,413742
A000328,57,5,9621505
A000329,64,5,9441856
A000330,69,10,187796
A000331,23,30,4678907
A000332,53,5,6652259
A000333,29,10,294227
A000334,43,10,5645695
A000335,65,10,330577
A000336,61,20,6677430
A000337,49,20,2350843
A000338,26,1,7947076
A000339,21,1,71855
A000340,62,1,6473156
A000341,43,10,6208320
A000342,21,20,2232742
A000343,42,5,1393162
A000344,49,10,67105
A000345,39,30,9222758
A000346,65,20,3122489
A000347,41,10,2906115
A000348,55,1,3012864
A000349,46,30,949397
A000350,64,20,2257412
A000351,69,1,1177213
A000352,35,30,8136333
A000353,46,30,3220019
A000354,50,30,3898351
A000355,67,30,4398510
A000356,31,5,1829041
A000357,39,20,9028105
A000358,35,30,5552416
A000359,24,1,9857916
A000360,34,1,403454
A000361,29,1,7097707
A000362,65,30,3990277
A000363,51,5,3780301
A000364,21,20,8865663
A000365,29,5,1298125
A000366,35,20,5487036
A000367,43,1,4428088
A000368,35,30,3478504
A000369,60,20,5705132
A000370,38,30,6371841
A000371,50,30,2743347
A000372,61,1,7413797
A000373,62,20,5961449
A000374,20,1,5472720
A000375,61,5,8055326
A000376,27,1,1160858
A000377,65,10,4441990
A000378,45,10,8586619
A000379,66,10,9071049
A000380,44,1,6070451
A000381,53,20,2383671
A000382,53,10,7943766
A000383,64,1,6181472
A000384,26,10,3022100
A000385,57,5,7970056
A000386,61,20,7887899
A000387,42,10,6697419
A000388,44,20,4586585
A000389,22,5,329591
A000390,22,10,5046101
A000391,60,5,4265395
A000392,29,5,2072995
A000393,41,5,2643030
A000394,31,1,7785294
A000395,55,1,1096510
A000396,44,10,598359
A000397,67,20,8611769
A000398,36,10,734017
A000399,35,10,7431237
A000400,43,10,8933343
A000401,59,20,3233114
A000402,30,10,4577768
A000403,38,20,4336722
A000404,52,20,7047848
A000405,53,10,8978582
A000406,37,1,6351937
A000407,54,30,8067767
A000408,69,20,2499609
A000409,32,5,9247368
A000410,53,5,8845847
A000411,46,20,5822456
A000412,35,10,5554678
A000413,66,30,9597770
A000414,44,5,5305836
A000415,62,30,5747551
A000416,60,10,7017711
A000417,55,1,9023152
A000418,45,20,3642832
A000419,22,10,6121707
A000420,54,5,7626573
A000421,57,30,1443049
A000422,29,30,4223608
A000423,43,1,3088449
A000424,46,1,3368102
A000425,32,20,6138980
A000426,42,5,3546110
A000427,51,5,2050829
A000428,66,10,2919883
A000429,19,20,1399138
A000430,36,5,4782367
A000431,52,5,6182236
A000432,20,1,1452303
A000433,58,5,5612416
A000434,28,1,9585382
A000435,48,20,850277
A000436,32,20,1084110
A000437,35,30,349069
A000438,33,30,7355384
A000439,33,30,2792912
A000440,40,10,2890395
A000441,42,1,6986959
A000442,22,1,4003463
A000443,56,10,3658174
A000444,47,5,859444
A000445,42,30,4684662
A000446,20,20,3591797
A000447,35,30,5413984
A000448,33,10,6256329
A000449,65,20,8969733
A000450,65,1,9828215
A000451,45,5,1181031
A000452,68,20,1895412
A000453,58,10,4559146
A000454,62,20,4969064
A000455,19,30,3561165
A000456,59,20,8628907
A000457,56,1,9542338
A000458,61,20,2145941
A000459,20,30,6123178
A000460,61,5,5511514
A000461,54,10,7577374
A000462,54,30,2906865
A000463,28,20,6860567
A000464,37,30,8856200
A000465,37,1,6116761
A000466,67,30,2040238
A000467,38,20,2094212
A000468,58,10,4096888
A000469,23,20,4699319
A000470,59,1,8227709
A000471,44,5,6318427
A000472,31,1,3890247
A000473,55,20,4340056
A000474,24,20,3264115
A000475,35,30,7235890
A000476,53,30,4668079
A000477,49,10,2916971
A000478,46,20,7440596
A000479,49,10,3214429
A000480,32,20,6551229
A000481,38,10,5022179
A000482,52,30,3447601
A000483,42,20,6530361
A000484,58,30,7077926
A000485,52,10,513146
A000486,50,30,657366
A000487,44,20,1226156
A000488,26,30,520961
A000489,31,5,7820224
A000490,19,30,1088352
A000491,51,30,7813833
A000492,41,5,9597049
A000493,47,10,1667595
A000494,67,5,8024790
A000495,63,20,4990844
A000496,25,5,6870740
A000497,59,10,7377434
A000498,59,20,8770841
A000499,28,20,563002
A000500,26,10,1145092
A000501,19,1,4099665
A000502,63,10,7679498
A000503,62,20,4910528
A000504,56,5,9897109
A000505,34,10,8908310
A000506,41,20,3220768
A000507,33,10,5765130
A000508,56,20,4164279
A000509,65,1,3664691
A000510,58,30,3587651
A000511,47,30,2772901
A000512,32,30,7622935
A000513,33,10,4368022
A000514,25,10,7801157
A000515,65,10,5807173
A000516,31,5,8178671
A000517,50,10,5339116
A000518,57,30,1980940
A000519,42,10,7007528
A000520,44,5,2845420
A000521,57,5,612173
A000522,24,30,5181821
A000523,59,5,8451983
A000524,47,30,5354905
A000525,23,20,8429303
A000526,20,10,9951255
A000527,22,20,4334341
A000528,64,20,7892600
A000529,55,5,4321449
A000530,21,1,9059051
A000531,40,5,3262181
A000532,37,1,8230007
A000533,23,1,6287930
A000534,50,30,8874389
A000535,58,20,5093841
A000536,62,10,6875870
A000537,54,5,9625799
A000538,58,20,2204741
A000539,44,20,4966412
A000540,64,1,802485
A000541,42,10,1021378
A000542,50,1,3681265
A000543,31,1,7478671
A000544,32,1,5006467
A000545,66,20,4543895
A000546,20,20,6377486
A000547,68,1,8477111
A000548,33,1,9938959
A000549,54,1,3829970
A000550,60,30,9140762
A000551,62,30,1231929
A000552,67,30,3289820
A000553,66,5,3158381
A000554,58,20,1024964
A000555,26,5,9505567
A000556,58,5,4174725
A000557,20,5,6339557
A000558,49,20,8983078
A000559,53,20,6222053
A000560,21,30,1789739
A000561,28,20,8603655
A000562,29,5,8958682
A000563,35,1,3961076
A000564,66,1,4178211
A000565,27,10,4576831
A000566,66,1,2782717
A000567,19,20,9642968
A000568,51,30,6129290
A000569,46,10,6913691
A000570,19,10,1989677
A000571,43,5,6806476
A000572,24,5,6398377
A000573,50,5,7657728
A000574,37,30,4056405
A000575,50,20,7279627
A000576,50,10,9593810
A000577,21,30,2669926
A000578,44,20,5917601
A000579,29,20,9184788
A000580,29,5,3639186
A000581,67,20,9348132
A000582,59,5,6815201
A000583,49,30,2920929
A000584,44,1,8932343
A000585,49,30,7075463
A000586,64,30,7137614
A000587,61,5,8968699
A000588,32,1,3865022
A000589,60,1,4506951
A000590,57,5,4650759
A000591,55,5,9891772
A000592,41,5,9024953
A000593,28,30,368514
A000594,40,30,7993667
A000595,25,1,4407107
A000596,61,5,1265164
A000597,25,30,5946210
A000598,48,20,2534384
A000599,50,1,6843870
A000600,42,10,7373377
A000601,65,30,9759030
A000602,39,10,2706097
A000603,24,30,7297407
A000604,40,30,3976240
A000605,30,5,4340528
A000606,19,10,9363052
A000607,19,20,8435153
A000608,22,20,7014548
A000609,64,20,8796070
A000610,49,20,213519
A000611,62,30,4986832
A000612,61,30,2195991
A000613,62,10,8827587
A000614,41,10,7722021
A000615,21,20,9931031
A000616,69,5,7043230
A000617,48,30,3959728
A000618,61,1,8322345
A000619,39,30,9805152
A000620,38,1,6248306
A000621,48,20,9756214
A000622,43,20,6953951
A000623,44,10,750371
A000624,59,5,6867648
A000625,61,30,5849867
A000626,43,20,3199453
A000627,47,30,8453759
A000628,36,5,2660792
A000629,58,20,3128505
A000630,26,30,8650290
A000631,34,30,5441182
A000632,41,1,8141784
A000633,65,10,5118574
A000634,60,30,1841856
A000635,35,20,4550731
A000636,37,1,9551812
A000637,27,5,6517392
A000638,60,20,4460215
A000639,33,30,9373384
A000640,51,20,4242231
A000641,62,20,4852507
A000642,24,10,5978281
A000643,54,20,7847160
A000644,52,5,683613
A000645,47,30,3476705
A000646,29,20,9220077
A000647,67,10,8400855
A000648,47,20,161244
A000649,50,10,9841091
A000650,19,30,3930476
A000651,32,1,6264569
A000652,44,1,6626940
A000653,34,30,3717451
A000654,64,10,7425714
A000655,52,5,9937453
A000656,40,30,8418170
A000657,41,10,3549851
A000658,36,30,5812930
A000659,56,5,5299786
A000660,48,5,5696628
A000661,35,10,2352192
A000662,66,20,779418
A000663,55,1,6752908
A000664,40,30,7153666
A000665,30,1,1399649
A000666,38,10,3126000
A000667,52,10,856145
A000668,51,10,2549133
A000669,53,10,9300989
A000670,58,10,806203
A000671,22,1,230077
A000672,37,1,6456049
A000673,61,20,5950980
A000674,27,5,1821972
A000675,29,5,6008274
A000676,52,5,3596098
A000677,63,20,7976362
A000678,28,10,9592258
A000679,57,1,1572809
A000680,22,5,9719548
A000681,50,10,5231068
A000682,24,1,2820610
A000683,64,1,7426880
A000684,62,5,8747641
A000685,51,1,7966942
A000686,39,20,6100290
A000687,66,10,4982003
A000688,39,5,5667568
A000689,69,20,7592488
A000690,43,5,7993572
A000691,66,1,1223011
A000692,38,5,9195791
A000693,63,10,2114304
A000694,23,10,1901131
A000695,36,30,3101034
A000696,26,30,9566865
A000697,61,10,2967317
A000698,54,20,6921053
A000699,59,10,1441395
A000700,54,5,4690166
A000701,66,10,1254050
A000702,63,20,2531594
A000703,30,5,5726784
A000704,54,20,7235759
A000705,25,1,2107108
A000706,22,1,8281062
A000707,54,10,9434888
A000708,31,1,1181410
A000709,23,20,4469343
A000710,64,10,4381614
A000711,23,20,5470277
A000712,32,30,3831298
A000713,37,10,1380863
A000714,29,5,3185829
A000715,47,20,2013451
A000716,35,30,4618774
A000717,34,20,6336678
A000718,52,20,1267749
A000719,35,30,323510
A000720,47,1,8218932
A000721,60,1,4711399
A000722,28,5,963674
A000723,42,5,8968074
A000724,69,5,5177558
A000725,69,30,5788191
A000726,40,5,6651433
A000727,56,1,8400728
A000728,44,10,2041441
A000729,67,20,6737059
A000730,61,1,329694
A000731,63,5,8984298
A000732,26,5,2208375
A000733,25,1,7969833
A000734,43,10,5020984
A000735,60,5,2933025
A000736,64,5,3794697
A000737,57,5,5551435
A000738,53,10,9307501
A000739,38,30,9675367
A000740,25,20,3331160
A000741,41,30,1969292
A000742,35,20,8499763
A000743,43,1,8727946
A000744,25,30,8573571
A000745,57,20,7380431
A000746,40,1,7483942
A000747,36,20,1604422
A000748,26,30,7299237
A000749,52,10,1060143
A000750,42,5,3680762
A000751,57,20,6559355
A000752,65,30,1267949
A000753,38,10,5969550
A000754,40,30,8209701
A000755,22,5,5720162
A000756,41,10,3019192
A000757,65,20,1893756
A000758,41,30,4495377
A000759,67,20,4916875
A000760,51,1,6722292
A000761,22,5,4806863
A000762,65,30,3090332
A000763,56,10,2988132
A000764,35,5,3059565
A000765,69,1,1056778
